"atc","parent","sv","en"
"QG03E","QG03","Androgener och kvinnliga könshormoner, kombinationer","Androgens and female sex hormones in combination"
"QG03EA","QG03E","Androgener och östrogener","Androgens and estrogens"
"QG03EA01","QG03EA","Metyltestosteron och östrogen","Methyltestosterone and estrogen"
"QG03EA02","QG03EA","Testosteron och östrogen","Testosterone and estrogen"
"QG03EA03","QG03EA","Prasteron och östrogen","Prasterone and estrogen"
"QG03EB","QG03E","Androgener, gestagener och östrogener, kombinationer","Androgen, progestogen and estrogen in combination"
"QG03EK","QG03E","Androgener och kvinnliga könshormoner i kombination med andra medel","Androgens and female sex hormones in combination with other drugs"
"QG03EK01","QG03EK","Metyltestosteron","Methyltestosterone"
"QG03F","QG03","Gestagener i kombination med östrogener","Progestogens and estrogens in combination"
"QG03FA","QG03F","Gestagener i kombination med östrogener","Progestogens and estrogens, combinations"
"QG03FA01","QG03FA","Noretisteron och östrogen","Norethisterone and estrogen"
"QG03FA02","QG03FA","Hydroxiprogesteron och östrogen","Hydroxyprogesterone and estrogen"
"QG03FA03","QG03FA","Etisteron och östrogen","Ethisterone and estrogen"
"QG03FA04","QG03FA","Progesteron och östrogen","Progesterone and estrogen"
"QG03FA05","QG03FA","Metylnortestosteron och östrogen","Methylnortestosterone and estrogen"
"QG03FA06","QG03FA","Etynodiol och östrogen","Etynodiol and estrogen"
"QG03FA07","QG03FA","Lynestrenol och östrogen","Lynestrenol and estrogen"
"QG03FA08","QG03FA","Megestrol och östrogen","Megestrol and estrogen"
"QG03FA09","QG03FA","Noretisteron och östrogen","Noretynodrel and estrogen"
"QG03FA10","QG03FA","Norgestrel och östrogen","Norgestrel and estrogen"
"QG03FA11","QG03FA","Levonorgestrel och östrogen","Levonorgestrel and estrogen"
"QG03FA12","QG03FA","Medroxiprogesteron och östrogen","Medroxyprogesterone and estrogen"
"QG03FA13","QG03FA","Norgestimat och östrogen","Norgestimate and estrogen"
"QG03FA14","QG03FA","Dydrogesteron och östrogen","Dydrogesterone and estrogen"
"QG03FA15","QG03FA","Dienogest och östrogen","Dienogest and estrogen"
"QG03FA16","QG03FA","Trimegeston och östrogen","Trimegestone and estrogen"
"QG03FA17","QG03FA","Drospirenon och östrogen","Drospirenone and estrogen"
"QG03FB","QG03F","Gestagener och östrogener, sekvenspreparat","Progestogens and estrogens, sequential preparations"
"QG03FB01","QG03FB","Norgestrel och östrogen","Norgestrel and estrogen"
"QG03FB02","QG03FB","Lynestrenol och östrogen","Lynestrenol and estrogen"
"QG03FB03","QG03FB","Klormadinon och östrogen","Chlormadinone and estrogen"
"QG03FB04","QG03FB","Megestrol och östrogen","Megestrol and estrogen"
"QG03FB05","QG03FB","Noretisteron och östrogen","Norethisterone and estrogen"
"QG03FB06","QG03FB","Medroxiprogesteron och östrogen","Medroxyprogesterone and estrogen"
"QG03FB07","QG03FB","Medrogeston och östrogen","Medrogestone and estrogen"
"QG03FB08","QG03FB","Dydrogesteron och östrogen","Dydrogesterone and estrogen"
"QG03FB09","QG03FB","Levonorgestrel och östrogen","Levonorgestrel and estrogen"
"QG03FB10","QG03FB","Desogestrel och östrogen","Desogestrel and estrogen"
"QG03FB11","QG03FB","Trimegeston och östrogen","Trimegestone and estrogen"
"QG03FB12","QG03FB","Nomegestrol och östrogen","Nomegestrol and estrogen"
"QG03G","QG03","Gonadotropiner och andra ovulationsstimulerande medel","Gonadotropins and other ovulation stimulants"
"QG03GA","QG03G","Gonadotropiner","Gonadotropins"
"QG03GA01","QG03GA","Koriongonadotropin","Chorionic gonadotrophin"
"QG03GA02","QG03GA","Menopausgonadotropin","Human menopausal gonadotrophin"
"QG03GA03","QG03GA","Serumgonadotropin","Serum gonadotrophin"
"QG03GA04","QG03GA","Urofollitropin","Urofollitropin"
"QG03GA05","QG03GA","Follitropin alfa","Follitropin alfa"
"QG03GA06","QG03GA","Follitropin beta","Follitropin beta"
"QG03GA07","QG03GA","Lutropin alfa","Lutropin alfa"
"QG03GA08","QG03GA","Koriongonadotropin alfa","Choriogonadotropin alfa"
"QG03GA09","QG03GA","Korifollitropin alfa","Corifollitropin alfa"
"QG03GA10","QG03GA","Follitropin delta","Follitropin delta"
"QG03GA30","QG03GA","Kombinationer","Combinations"
"QG03GA90","QG03GA","Follikelstimulerande hormon, hypofys","Follicle stimulating hormone-pituitary"
"QG03GA99","QG03GA","Gonadotropiner, kombinationer","Gonadotrophins, combinations"
"QG03GB","QG03G","Syntetiska ovulationsstimulerande medel","Ovulation stimulants, synthetic"
"QG03GB01","QG03GB","Cyklofenil","Cyclofenil"
"QG03GB02","QG03GB","Klomifen","Clomifene"
"QG03GB03","QG03GB","Epimestrol","Epimestrol"
"QG03H","QG03","Antiandrogener","Antiandrogens"
"QG03HA","QG03H","Antiandrogener","Antiandrogens, plain"
"QG03HA01","QG03HA","Cyproteron","Cyproterone"
"QG03HB","QG03H","Antiandrogener och östrogener","Antiandrogens and estrogens"
"QG03HB01","QG03HB","Cyproteron och östrogen","Cyproterone and estrogen"
"QG03X","QG03","Övriga könshormoner","Other sex hormones and modulators of the genital system"
"QG03XA","QG03X","Gonadotropinhämmare och liknande medel","Antigonadotropins and similar agents"
"QG03XA01","QG03XA","Danazol","Danazol"
"QG03XA02","QG03XA","Gestrinon","Gestrinone"
"QG03XA90","QG03XA","Anti-gonadotropin, hästserum","Anti-gonadothrophin, equine serum"
"QG03XA91","QG03XA","Gonadotropinfrisättande faktoranalog, konjugerad","Gonadotropin releasing factor analogue, conjugated"
"QG03XB","QG03X","Progesteronreceptormodulatorer","Progesterone receptor modulators"
"QG03XB01","QG03XB","Mifepriston","Mifepristone"
"QG03XB02","QG03XB","Ulipristal","Ulipristal"
"QG03XB51","QG03XB","Mifepriston, kombinationer","Mifepristone, combinations"
"QG03XB90","QG03XB","Aglepriston","Aglepristone"
"QG03XC","QG03X","Selektiva östrogenreceptormodulatorer","Selective estrogen receptor modulators"
"QG03XC01","QG03XC","Raloxifen","Raloxifene"
"QG03XC02","QG03XC","Bazedoxifen","Bazedoxifene"
"QG03XC03","QG03XC","Lasofoxifen","Lasofoxifene"
"QG03XC04","QG03XC","Ormeloxifen","Ormeloxifene"
"QG03XC05","QG03XC","Ospemifen","Ospemifene"
"QG03XX","QG03X","Övriga könshormoner och modulatorer av könsorgan","Other sex hormones and modulators of the genital system"
"QG03XX01","QG03XX","Prasteron","Prasterone"
"QG03XX90","QG03XX","Finrozol","Finrozole"
"QG04","QG","Urologiska medel","Urologicals"
"QG04B","QG04","Övriga urologiska medel","Other urologicals"
"QG04BA","QG04B","Surgörande medel","Acidifiers"
"QG04BA01","QG04BA","Ammoniumklorid","Ammonium chloride"
"QG04BA03","QG04BA","Kalciumklorid","Calcium chloride"
"QG04BA90","QG04BA","Metionin","Methionine"
"QG04BC","QG04B","Medel för upplösning av urinsyrakonkrement","Urinary concrement solvents"
"QG04BC90","QG04BC","Tiopronin","Tiopronin"
"QG04BD","QG04B","Medel mot inkontinens och för kontroll av miktionsfrekvens","Drugs for urinary frequency and incontinence"
"QG04BD01","QG04BD","Emepron","Emepronium"
"QG04BD02","QG04BD","Flavoxat","Flavoxate"
"QG04BD03","QG04BD","Meladrazin","Meladrazine"
"QG04BD04","QG04BD","Oxybutynin","Oxybutynin"
"QG04BD05","QG04BD","Terodilin","Terodiline"
"QG04BD06","QG04BD","Propiverin","Propiverine"
"QG04BD07","QG04BD","Tolterodin","Tolterodine"
"QG04BD08","QG04BD","Solifenacin","Solifenacin"
"QG04BD09","QG04BD","Trospium","Trospium"
"QG04BD10","QG04BD","Darifenacin","Darifenacin"
"QG04BD11","QG04BD","Fesoterodin","Fesoterodine"
"QG04BD12","QG04BD","Mirabegron","Mirabegron"
"QG04BD13","QG04BD","Desfesoterodin","Desfesoterodine"
"QG04BD14","QG04BD","Imidafenacin","Imidafenacin"
"QG04BD15","QG04BD","Vibegron","Vibegron"
"QG04BE","QG04B","Medel vid erektil dysfunktion","Drugs used in erectile dysfunction"
"QG04BE01","QG04BE","Alprostadil","Alprostadil"
"QG04BE02","QG04BE","Papaverin","Papaverine"
"QG04BE03","QG04BE","Sildenafil","Sildenafil"
"QG04BE04","QG04BE","Yohimbin","Yohimbin"
"QG04BE06","QG04BE","Moxisylyt","Moxisylyte"
"QG04BE07","QG04BE","Apomorfin","Apomorphine"
"QG04BE08","QG04BE","Tadalafil","Tadalafil"
"QG04BE09","QG04BE","Vardenafil","Vardenafil"
"QG04BE10","QG04BE","Avanafil","Avanafil"
"QG04BE11","QG04BE","Udenafil","Udenafil"
"QG04BE30","QG04BE","Kombinationer","Combinations"
"QG04BE52","QG04BE","Papaverin, kombinationer","Papaverine, combinations"
"QG04BQ","QG04B","Medel för alkalinisering av urin","Urinary alkalizers"
"QG04BQ01","QG04BQ","Natriumbikarbonat","Sodium bicarbonate"
"QG04BX","QG04B","Övriga urologiska medel","Other urologicals"
"QG04BX01","QG04BX","Magnesiumhydroxid","Magnesium hydroxide"
"QG04BX03","QG04BX","Acetohydroxamsyra","Acetohydroxamic acid"
"QG04BX06","QG04BX","Fenazopyridin","Phenazopyridine"
"QG04BX10","QG04BX","Succinimid","Succinimide"
"QG04BX11","QG04BX","Kollagen","Collagen"
"QG04BX12","QG04BX","Fenylsalicylat","Phenyl salicylate"
"QG04BX13","QG04BX","Dimetylsulfoxid","Dimethyl sulfoxide"
"QG04BX14","QG04BX","Dapoxetin","Dapoxetine"
"QG04BX15","QG04BX","Pentosanpolysulfatnatrium","Pentosan polysulfate sodium"
"QG04BX16","QG04BX","Tiopronin","Tiopronin"
"QG04BX17","QG04BX","Natriumsalicylat och metenamin","Sodium salicylate and methenamine"
"QG04BX56","QG04BX","Fenazopyridin, kombinationer","Phenazopyridine, combinations"
"QG04BX90","QG04BX","Efedrin","Ephedrine"
"QG04BX91","QG04BX","Fenylpropanolamin","Phenylpropanolamine"
"QG04C","QG04","Medel vid benign prostatahyperplasi","Drugs used in benign prostatic hypertrophy"
"QG04CA","QG04C","Alfa-adrenoreceptorantagonister","Alpha-adrenoreceptor antagonists"
"QG04CA01","QG04CA","Alfuzosin","Alfuzosin"
"QG04CA02","QG04CA","Tamsulosin","Tamsulosin"
"QG04CA03","QG04CA","Terazosin","Terazosin"
"QG04CA04","QG04CA","Silodosin","Silodosin"
"QG04CA51","QG04CA","Alfuzosin och finasterid","Alfuzosin and finasteride"
"QG04CA52","QG04CA","Tamsulosin och dutasterid","Tamsulosin and dutasteride"
"QG04CA53","QG04CA","Tamsulosin och solifenacin","Tamsulosin and solifenacin"
"QG04CA54","QG04CA","Tamsulosin och tadalafil","Tamsulosin and tadalafil"
"QG04CA55","QG04CA","Doxazosin och finasterid","Doxazosin and finasteride"
"QG04CB","QG04C","Testosteron-5-alfa-reduktashämmare","Testosterone-5-alpha reductase inhibitors"
"QG04CB01","QG04CB","Finasterid","Finasteride"
"QG04CB02","QG04CB","Dutasterid","Dutasteride"
"QG04CB51","QG04CB","Finasterid och tadalafil","Finasteride and tadalafil"
"QG04CX","QG04C","Övriga medel vid benign prostatahyperplasi","Other drugs used in benign prostatic hypertrophy"
"QG04CX01","QG04CX","Pygeum africanum, bark","Prunus africanae cortex"
"QG04CX02","QG04CX","Sågpalmetto, frukt","Sabalis serrulatae fructus"
"QG04CX03","QG04CX","Mepartricin","Mepartricin"
"QG04CX04","QG04CX","Fexapotid","Fexapotide"
"QG04CX90","QG04CX","Osateron","Osaterone"
"QG51","QG","Antiinfektiva och antiseptiska medel för intrauterin användning","Antiinfectives and antiseptics for intrauterine use"
"QG51A","QG51","Antiinfektiva och antiseptiska medel för intrauterin användning","Antiinfectives and antiseptics for intrauterine use"
"QG51AA","QG51A","Antibakteriella medel","Antibacterials"
"QG51AA01","QG51AA","Oxytetracyklin","Oxytetracycline"
"QG51AA02","QG51AA","Tetracyklin","Tetracycline"
"QG51AA03","QG51AA","Amoxicillin","Amoxicillin"
"QG51AA04","QG51AA","Gentamicin","Gentamicin"
"QG51AA05","QG51AA","Cefapirin","Cefapirin"
"QG51AA06","QG51AA","Rifaximin","Rifaximin"
"QG51AA07","QG51AA","Cefkinom","Cefquinome"
"QG51AA08","QG51AA","Klortetracyklin","Chlortetracycline"
"QG51AA09","QG51AA","Formosulfatiazol","Formosulfathiazole"
"QG51AD","QG51A","Antiseptiska medel","Antiseptics"
"QG51AD01","QG51AD","Povidon, joderad","Povidone, iodinated"
"QG51AD02","QG51AD","Polikresulen","Policresulen"
"QG51AD03","QG51AD","Peroxiättiksyra","Peroxy-acetic acid"
"QG51AD30","QG51AD","Kombinationer av antiseptika","Combinations of antiseptics"
"QG51AG","QG51A","Antiinfektiva och/eller antiseptiska medel i kombination för intrauterin användning","Antiinfectives and/or antiseptics, combinations for intrauterine use"
"QG51AG01","QG51AG","Prokainbensylpenicillin, dihydrostreptomycin och sulfadimidin","Procaine benzylpenicillin, dihydrostreptomycin, and sulfadimidine"
"QG51AG02","QG51AG","Bensylpenicillin, dihydrostreptomycin och sulfadimidin","Benzylpenicillin, dihydrostreptomycin, and sulfadimidine"
"QG51AG03","QG51AG","Tetracyklin, neomycin och sulfadimidin","Tetracycline, neomycin and sulfadimidine"
"QG51AG04","QG51AG","Ampicillin och oxacillin","Ampicillin and oxacillin"
"QG51AG05","QG51AG","Ampicillin och kloxacillin","Ampicillin and cloxacillin"
"QG51AG06","QG51AG","Oxytetracyklin och neomycin","Oxytetracycline and neomycin"
"QG51AG07","QG51AG","Ampicillin och kolistin","Ampicillin and colistin"
"QG51AX","QG51A","Övriga antiinfektiva och antiseptiska medel för intrauterin användning","Other antiinfectives and antiseptics for intrauterine use"
"QG52","QG","Produkter för spenar och juver","Products for teats and udder"
"QG52A","QG52","Desinfektionsmedel","Disinfectants"
"QG52B","QG52","Hjälpmedel för spenkanalen","Teat canal devices"
"QG52C","QG52","Uppmjukande medel","Emollients"
"QG52X","QG52","Övriga produkter för spenar och juver","Various products for teats and udder"
"QH","Q","Systemiska hormonpreparat, exkl. könshormoner och insuliner","Systemic hormonal preparations, excl. sex hormones and insulins"
"QH01","QH","Hypofys- och hypotalamushormoner samt analoger","Pituitary and hypothalamic hormones and analogues"
"QH01A","QH01","Hypofysframlobens hormoner samt analoger","Anterior pituitary lobe hormones and analogues"
"QH01AA","QH01A","ACTH","ACTH"
"QH01AA01","QH01AA","Kortikotropin","Corticotropin"
"QH01AA02","QH01AA","Tetrakosaktid","Tetracosactide"
"QH01AB","QH01A","Tyrotropin","Thyrotrophin"
"QH01AB01","QH01AB","Tyrotropin alfa","Thyrotropin alfa"
"QH01AC","QH01A","Somatropin, samt somatropinagonister","Somatropin and somatropin agonists"
"QH01AC01","QH01AC","Somatropin","Somatropin"
"QH01AC02","QH01AC","Somatrem","Somatrem"
"QH01AC03","QH01AC","Mekasermin","Mecasermin"
"QH01AC04","QH01AC","Sermorelin","Sermorelin"
"QH01AC05","QH01AC","Mekaserminrinfabat","Mecasermin rinfabate"
"QH01AC06","QH01AC","Tesamorelin","Tesamorelin"
"QH01AC07","QH01AC","Somapacitan","Somapacitan"
"QH01AC08","QH01AC","Somatrogon","Somatrogon"
"QH01AC09","QH01AC","Lonapegsomatropin","Lonapegsomatropin"
"QH01AX","QH01A","Övriga hypofysframlobens hormoner samt analoger","Other anterior pituitary lobe hormones and analogues"
"QH01AX01","QH01AX","Pegvisomant","Pegvisomant"
"QH01AX90","QH01AX","Kapromorelin","Capromorelin"
"QH01B","QH01","Hypofysbaklobens hormoner","Posterior pituitary lobe hormones"
"QH01BA","QH01B","Vasopressin och analoger","Vasopressin and analogues"
"QH01BA01","QH01BA","Vasopressin (argipressin)","Vasopressin (argipressin)"
"QH01BA02","QH01BA","Desmopressin","Desmopressin"
"QH01BA03","QH01BA","Lypressin","Lypressin"
"QH01BA04","QH01BA","Terlipressin","Terlipressin"
"QH01BA05","QH01BA","Ornipressin","Ornipressin"
"QH01BA06","QH01BA","Argipressin","Argipressin"
"QH01BB","QH01B","Oxytocin och analoger","Oxytocin and analogues"
"QH01BB01","QH01BB","Demoxytocin","Demoxytocin"
"QH01BB02","QH01BB","Oxytocin","Oxytocin"
"QH01BB03","QH01BB","Karbetocin","Carbetocin"
"QH01BB90","QH01BB","Karbetocin","Carbetocin"
"QH01C","QH01","Hypotalamushormoner","Hypothalamic hormones"
"QH01CA","QH01C","Gonadotropinfrisättande hormoner","Gonadotropin-releasing hormones"
"QH01CA01","QH01CA","Gonadorelin","Gonadorelin"
"QH01CA02","QH01CA","Nafarelin","Nafarelin"
"QH01CA90","QH01CA","Buserelin","Buserelin"
"QH01CA91","QH01CA","Fertirelin","Fertirelin"
"QH01CA92","QH01CA","Lecirelin","Lecirelin"
"QH01CA93","QH01CA","Deslorelin","Deslorelin"
"QH01CA94","QH01CA","Azagly-nafarelin","Azagly-nafarelin"
"QH01CA95","QH01CA","Peforelin","Peforelin"
"QH01CA96","QH01CA","Gonadotropinfrisättande hormonanalog, från lax","Salmon gonadotropin releasing hormone analogue"
"QH01CA97","QH01CA","Triptorelin","Triptorelin"
"QH01CA98","QH01CA","Alarelin","Alarelin"
"QH01CB","QH01C","Somatostatin och analoger","Somatostatin and analogues"
"QH01CB01","QH01CB","Somatostatin","Somatostatin"
"QH01CB02","QH01CB","Oktreotid","Octreotide"
"QH01CB03","QH01CB","Lanreotid","Lanreotide"
"QH01CB04","QH01CB","Vapreotid","Vapreotide"
"QH01CB05","QH01CB","Pasireotid","Pasireotide"
"QH01CC","QH01C","Gonadotropinantagonister","Anti-gonadrotropin-releasing hormones"
"QH01CC01","QH01CC","Ganirelix","Ganirelix"
"QH01CC02","QH01CC","Cetrorelix","Cetrorelix"
"QH01CC03","QH01CC","Elagolix","Elagolix"
"QH01CC04","QH01CC","Linzagolix","Linzagolix"
"QH01CC53","QH01CC","Elagolix, estradiol och noretisteron","Elagolix, estradiol and norethisterone"
"QH01CC54","QH01CC","Relugolix, estradiol och noretisteron","Relugolix, estradiol and norethisterone"
"QH02","QH","Kortikosteroider för systemiskt bruk","Corticosteroids for systemic use"
"QH02A","QH02","Kortikosteroider för systemiskt bruk","Corticosteroids for systemic use, plain"
"QH02AA","QH02A","Mineralkortikoider","Mineralocorticoids"
"QH02AA01","QH02AA","Aldosteron","Aldosterone"
"QH02AA02","QH02AA","Fludrokortison","Fludrocortisone"
"QH02AA03","QH02AA","Desoxikorton","Desoxycortone"
"QH02AB","QH02A","Glukokortikoider","Glucocorticoids"
"QH02AB01","QH02AB","Betametason","Betamethasone"
"QH02AB02","QH02AB","Dexametason","Dexamethasone"
"QH02AB03","QH02AB","Fluokortolon","Fluocortolone"
"QH02AB04","QH02AB","Metylprednisolon","Methylprednisolone"
"QH02AB05","QH02AB","Parametason","Paramethasone"
"QH02AB06","QH02AB","Prednisolon","Prednisolone"
"QH02AB07","QH02AB","Prednison","Prednisone"
"QH02AB08","QH02AB","Triamcinolon","Triamcinolone"
"QH02AB09","QH02AB","Hydrokortison","Hydrocortisone"
"QH02AB10","QH02AB","Kortison","Cortisone"
"QH02AB11","QH02AB","Prednyliden","Prednylidene"
"QH02AB12","QH02AB","Rimexolon","Rimexolone"
"QH02AB13","QH02AB","Deflazakort","Deflazacort"
"QH02AB14","QH02AB","Kloprednol","Cloprednol"
"QH02AB15","QH02AB","Meprednison","Meprednisone"
"QH02AB17","QH02AB","Kortivazol","Cortivazol"
"QH02AB18","QH02AB","Vamorolon","Vamorolone"
"QH02AB30","QH02AB","Kombination av glukokortikoider","Combinations of glucocorticoids"
"QH02AB56","QH02AB","Prednisolon, kombinationer","Prednisolone, combinations"
"QH02AB57","QH02AB","Prednison, kombinationer","Prednisone, combinations"
"QH02AB90","QH02AB","Flumetason","Flumetasone"
"QH02B","QH02","Kortikosteroider för systemiskt bruk, kombinationer","Corticosteroids for systemic use, combinations"
"QH02BX","QH02B","Kortikosteroider för systemiskt bruk, kombinationer","Corticosteroids for systemic use, combinations"
"QH02BX01","QH02BX","Metylprednisolon, kombinationer","Methylprednisolone, combinations"
"QH02BX90","QH02BX","Dexametason, kombinationer","Dexamethasone, combinations"
"QH02BX91","QH02BX","Alilmemazin, kombinationer","Alilmemazine, combinations"
"QH02BX92","QH02BX","Tripelennamin, kombinationer","Tripelennamine, combinations"
"QH02C","QH02","Antiadrenerga preparat","Antiadrenal preparations"
"QH02CA","QH02C","Antikortikosteroider","Anticorticosteroids"
"QH02CA01","QH02CA","Trilostan","Trilostane"
"QH02CA02","QH02CA","Osilodrostat","Osilodrostat"
"QH02CA03","QH02CA","Ketokonazol","Ketoconazole"
"QH02CA04","QH02CA","Levoketokonazol","Levoketoconazole"
"QH03","QH","Tyreoideabehandling","Thyroid therapy"
"QH03A","QH03","Tyreoideapreparat","Thyroid preparations"
"QH03AA","QH03A","Tyreoideahormoner","Thyroid hormones"
"QH03AA01","QH03AA","Levotyroxinnatrium","Levothyroxine sodium"
"QH03AA02","QH03AA","Liotyronin, T3","Liothyronine sodium"
"QH03AA03","QH03AA","Kombinationer av levotyroxin och liotyronin","Combinations of levothyroxine and liothyronine"
"QH03AA04","QH03AA","Tiratrikol","Tiratricol"
"QH03AA05","QH03AA","Sköldkörtelpreparat","Thyroid gland preparations"
"QH03AA51","QH03AA","Levotyroxinnatrium och jodföreningar","Levothyroxine sodium and iodine compounds"
"QH03B","QH03","Antityreoida substanser, tyreostatika","Antithyroid preparations"
"QH03BA","QH03B","Tiouraciler","Thiouracils"
"QH03BA01","QH03BA","Metyltiouracil","Methylthiouracil"
"QH03BA02","QH03BA","Propyltiouracil","Propylthiouracil"
"QH03BA03","QH03BA","Bensyltiouracil","Benzylthiouracil"
"QH03BB","QH03B","Svavelhaltiga imidazolderivat","Sulfur-containing imidazole derivatives"
"QH03BB01","QH03BB","Karbimazol","Carbimazole"
"QH03BB02","QH03BB","Tiamazol","Thiamazole"
"QH03BB52","QH03BB","Tiamazol, kombinationer","Thiamazole, combinations"
"QH03BC","QH03B","Perklorater","Perchlorates"
"QH03BC01","QH03BC","Kaliumperklorat","Potassium perchlorate"
"QH03BX","QH03B","Övriga antityreoida substanser","Other antithyroid preparations"
"QH03BX01","QH03BX","Dijodtyrosin","Diiodotyrosine"
"QH03BX02","QH03BX","Dibromotyrosin","Dibromotyrosine"
"QH03C","QH03","Jodterapi","Iodine therapy"
"QH03CA","QH03C","Jodterapi","Iodine therapy"
"QH04","QH","Pankreashormoner","Pancreatic hormones"
"QH04A","QH04","Glukogenolytiskt hormon","Glycogenolytic hormones"
"QH04AA","QH04A","Glukogenolytiskt hormon","Glycogenolytic hormones"
"QH04AA01","QH04AA","Glukagon","Glucagon"
"QH04AA02","QH04AA","Dasiglukagon","Dasiglucagon"
"QH05","QH","Medel som reglerar kalciumomsättningen","Calcium homeostasis"
"QH05A","QH05","Paratyreoideahormoner och analoger","Parathyroid hormones and analogues"
"QH05AA","QH05A","Paratyreoideahormoner och analoger","Parathyroid hormones and analogues"
"QH05AA01","QH05AA","Paratyreoideaextrakt","Parathyroid gland extract"
"QH05AA02","QH05AA","Teriparatid","Teriparatide"
"QH05AA03","QH05AA","Paratyroidhormon","Parathyroid hormone"
"QH05AA04","QH05AA","Abaloparatid","Abaloparatide"
"QH05AA05","QH05AA","Palopegteriparatid","Palopegteriparatide"
"QH05B","QH05","Antiparatyreoideamedel","Anti-parathyroid agents"
"QH05BA","QH05B","Kalcitoninpreparat","Calcitonin preparations"
"QH05BA01","QH05BA","Kalcitonin, lax, syntetisk","Calcitonin (salmon synthetic)"
"QH05BA02","QH05BA","Kalcitonin (naturligt från gris)","Calcitonin (pork natural)"
"QH05BA03","QH05BA","Kalcitonin, human, syntetisk","Calcitonin (human synthetic)"
"QH05BA04","QH05BA","Elkatonin","Elcatonin"
"QH05BX","QH05B","Övriga antiparatyreoideamedel","Other anti-parathyroid agents"
"QH05BX01","QH05BX","Cinakalcet","Cinacalcet"
"QH05BX02","QH05BX","Parikalcitol","Paricalcitol"
"QH05BX03","QH05BX","Doxerkalciferol","Doxercalciferol"
"QH05BX04","QH05BX","Etelkalcetid","Etelcalcetide"
"QH05BX05","QH05BX","Kalcifediol","Calcifediol"
"QH05BX06","QH05BX","Evokalcet","Evocalcet"
"QI","Q","Immunologiska medel","Immunologicals"
"QI01","QI","Immunologiska medel för fåglar","Immunologicals for aves"
"QI01A","QI01","Tamhöns","Domestic fowl"
"QI01AA","QI01A","Inaktiverade virala vacciner","Inactivated viral vaccines"
"QI01AA01","QI01AA","Infektiöst fågelbursitvirus (Gumborosjuka)","Avian infectious bursal (Gumboro) disease virus"
"QI01AA02","QI01AA","Newcastlesjukevirus / paramyxovirus","Newcastle disease virus / paramyxovirus"
"QI01AA03","QI01AA","Infektiöst fågelbronkitvirus","Avian infectious bronchitis virus"
"QI01AA04","QI01AA","Fågelreovirus","Avian reovirus"
"QI01AA05","QI01AA","Fågeladenovirus","Avian adenovirus"
"QI01AA06","QI01AA","Infektiöst fågelbronkitvirus + infektiöst fågelbursitvirus (Gumborosjuka) + Newcastlesjukevirus / paramyxovirus + fågelrhinotrakeitvirus","Avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian rhinotracheitis virus"
"QI01AA07","QI01AA","Infektiöst fågelbronkitvirus + infektiöst fågelbursitvirus (Gumborosjuka) + Newcastlesjukevirus / paramyxovirus + fågelrhinotrakeitvirus + egg drop syndrome-virus","Avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian rhinotracheitis virus + avian adenovirus"
"QI01AA08","QI01AA","Infektiöst fågelbronkitvirus + infektiöst fågelbursitvirus (Gumborosjuka) + Newcastlesjukevirus / paramyxovirus","Avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus"
"QI01AA09","QI01AA","Newcastlesjukevirus / paramyxovirus + infektiöst fågelbursitvirus (Gumborosjuka) + egg drop syndrome-virus","Newcastle disease virus / paramyxovirus + avian infectious bursal (gumboro) disease virus + avian adenovirus"
"QI01AA10","QI01AA","Infektiöst fågelbronkitvirus + Newcastlesjukevirus / paramyxovirus","Avian infectious bronchitis virus + newcastle disease virus / paramyxovirus"
"QI01AA11","QI01AA","Infektiöst fågelbursitvirus (Gumborosjuka) + Newcastlesjukevirus / paramyxovirus","Avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus"
"QI01AA12","QI01AA","Newcastlesjukevirus / paramyxovirus + egg drop syndrome-virus","Newcastle disease virus / paramyxovirus + avian adenovirus"
"QI01AA13","QI01AA","Newcastlesjukevirus / paramyxovirus + aviärt infektiöst bronkitvirus + aviärt adenovirus","Newcastle disease virus / paramyxovirus + avian infectious bronchitis virus + avian adenovirus"
"QI01AA14","QI01AA","Infektiöst fågelbronkitvirus + fågeladenovirus","Avian infectious bronchitis virus + avian adenovirus"
"QI01AA15","QI01AA","Infektiöst fågelbronkitvirus + infektiöst fågelbursitvirus (Gumborosjuka)","Avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus"
"QI01AA16","QI01AA","Infektiöst fågelbronkitvirus + infektiöst fågelbursitvirus (Gumborosjuka) + Newcastlesjukevirus / paramyxovirus + fågelreovirus","Avian infectious bronchitis virus + avian infectious bursal (gumboro) disease virus + newcastle disease virus / paramyxovirus + avian reovirus"
"QI01AA17","QI01AA","Fågelrhinotrakeitvirus","Avian rhinotracheitis virus"
"QI01AA18","QI01AA","Infektiöst fågelbronkitvirus + Newcastlesjukevirus/paramyxovirus + fågeladenovirus + fågelrhinotrakeitvirus","Avian infectious bronchitis virus + Newcastle disease virus/paramyxovirus + avian adenovirus + avian rhinotracheitis virus"
